2003 12 02 01 10  26.61 289.09  -0.95 100.90 611.3
2003 12 02 01 15  26.61 289.09  -0.95 100.90 611.3
2003 12 02 01 20  28.85 283.84  -0.95 101.00 611.2
2003 12 02 01 25  28.85 283.84  -0.95 101.00 611.2
2003 12 02 01 30  26.35 277.40  -0.72 101.00 611.2
2003 12 02 01 35  26.35 277.40  -0.72 101.00 611.2
2003 12 02 01 40  26.35 277.40  -0.72 101.00 611.2
2003 12 02 01 45  26.35 277.40  -0.72 101.00 611.2
2003 12 02 01 50  22.78 266.94  -0.51 100.90 611.1
2003 12 02 01 55  22.78 266.94  -0.51 100.90 611.1
2003 12 02 02 00  22.78 266.94  -0.51 100.90 611.1
2003 12 02 02 05  23.70 265.89  -0.62 101.00 611.0
2003 12 02 02 10  23.70 265.89  -0.62 101.00 611.0
2003 12 02 02 15  23.70 265.89  -0.62 101.00 611.0
2003 12 02 02 20  26.99 264.02  -0.65 101.00 611.0
2003 12 02 02 25  26.99 264.02  -0.65 101.00 611.0
2003 12 02 02 30  26.99 264.02  -0.65 101.00 611.0
2003 12 02 02 35  24.97 259.08  -0.75 101.00 611.0
2003 12 02 02 40  24.97 259.08  -0.75 101.00 611.0
2003 12 02 02 45  24.97 259.08  -0.75 101.00 611.0
2003 12 02 02 50  22.65 265.21  -0.97 100.96 611.0
2003 12 02 02 55  22.65 265.21  -0.97 100.96 611.0
2003 12 02 03 00  22.65 265.21  -0.97 100.96 611.0
2003 12 02 03 05  22.65 265.21  -0.97 100.96 611.0
2003 12 02 03 10  22.65 265.21  -0.97 100.96 611.0
2003 12 02 03 15  22.02 265.11  -1.15 101.00 611.0
2003 12 02 03 20  22.02 265.11  -1.15 101.00 611.0
2003 12 02 03 25  22.02 265.11  -1.15 101.00 611.0
2003 12 02 03 30  21.26 274.05  -1.30 101.00 611.0
2003 12 02 03 35  20.99 278.97  -1.29 101.00 610.9
2003 12 02 03 40  20.99 278.97  -1.29 101.00 610.9
2003 12 02 03 45  20.99 278.97  -1.29 101.00 610.9
2003 12 02 03 50  20.80 281.94  -1.54 101.00 610.8
2003 12 02 03 55  20.80 281.94  -1.54 101.00 610.8
2003 12 02 04 00  20.80 281.94  -1.54 101.00 610.8
2003 12 02 04 05  20.54 274.77  -1.62 101.00 610.9
2003 12 02 04 10  20.54 274.77  -1.62 101.00 610.9
2003 12 02 04 15  20.54 274.77  -1.62 101.00 610.9
2003 12 02 04 20  25.21 267.53  -1.12 101.00 610.9
2003 12 02 04 25  25.21 267.53  -1.12 101.00 610.9
2003 12 02 04 30  25.21 267.53  -1.12 101.00 610.9
2003 12 02 04 35  27.72 275.53  -1.10 101.00 610.9
2003 12 02 04 40  27.72 275.53  -1.10 101.00 610.9
2003 12 02 04 45  27.72 275.53  -1.10 101.00 610.9
2003 12 02 04 55  25.85 275.61  -1.21 101.00 611.1
2003 12 02 05 00  25.85 275.61  -1.21 101.00 611.1
2003 12 02 05 05  26.94 275.41  -1.30 100.96 611.0
2003 12 02 05 10  26.94 275.41  -1.30 100.96 611.0
2003 12 02 05 15  26.94 275.41  -1.30 100.96 611.0
2003 12 02 05 20  26.94 275.41  -1.30 100.96 611.0
2003 12 02 05 25  26.94 275.41  -1.30 100.96 611.0
2003 12 02 05 30  29.59 279.15  -1.38 101.00 610.9
2003 12 02 05 35  29.59 279.15  -1.38 101.00 610.9
2003 12 02 05 40  29.59 279.15  -1.38 101.00 610.9
2003 12 02 05 45  30.30 281.50  -1.38 101.00 611.1
2003 12 02 05 50  26.85 283.29  -1.64 101.00 611.1
2003 12 02 05 55  26.85 283.29  -1.64 101.00 611.1
2003 12 02 06 00  26.85 283.29  -1.64 101.00 611.1
2003 12 02 06 05  26.85 283.29  -1.64 101.00 611.1
2003 12 02 06 10  26.85 283.29  -1.64 101.00 611.1
2003 12 02 06 15  26.77 273.22  -1.86 101.00 611.1
2003 12 02 06 20  26.77 273.22  -1.86 101.00 611.1
2003 12 02 06 25  26.77 273.22  -1.86 101.00 611.1
2003 12 02 06 30  26.54 263.06  -1.80 101.00 611.1
2003 12 02 06 35  26.54 263.06  -1.80 101.00 611.1
2003 12 02 06 40  26.54 263.06  -1.80 101.00 611.1
2003 12 02 06 45  24.97 261.97  -1.68 100.89 611.3
2003 12 02 06 50  24.97 261.97  -1.68 100.89 611.3
2003 12 02 06 55  24.97 261.97  -1.68 100.89 611.3
2003 12 02 07 00  24.62 261.63  -1.67 101.00 611.5
2003 12 02 07 05  24.62 261.63  -1.67 101.00 611.5
2003 12 02 07 10  24.62 261.63  -1.67 101.00 611.5
2003 12 02 07 15  25.88 269.06  -1.64 101.00 611.7
2003 12 02 07 20  25.88 269.06  -1.64 101.00 611.7
2003 12 02 07 25  25.88 269.06  -1.64 101.00 611.7
2003 12 02 07 30  24.97 278.30  -1.76 100.96 611.8
2003 12 02 07 35  24.97 278.30  -1.76 100.96 611.8
2003 12 02 07 40  24.97 278.30  -1.76 100.96 611.8
2003 12 02 07 45  28.33 281.93  -1.74 101.00 611.8
2003 12 02 07 50  28.33 281.93  -1.74 101.00 611.8
2003 12 02 07 55  28.33 281.93  -1.74 101.00 611.8
2003 12 02 08 00  29.36 280.50  -1.97 100.89 611.8
2003 12 02 08 05  29.36 280.50  -1.97 100.89 611.8
2003 12 02 08 10  29.36 280.50  -1.97 100.89 611.8
2003 12 02 08 15  23.85 280.18  -1.80 101.00 612.0
2003 12 02 08 20  24.33 280.61  -1.82 100.89 612.0
2003 12 02 08 25  24.33 280.61  -1.82 100.89 612.0
2003 12 02 08 30  24.33 280.61  -1.82 100.89 612.0
2003 12 02 08 35  24.33 280.61  -1.82 100.89 612.0
2003 12 02 08 40  24.33 280.61  -1.82 100.89 612.0
2003 12 02 08 45  23.75 276.96  -1.70 100.89 611.9
2003 12 02 08 50  23.75 276.96  -1.70 100.89 611.9
2003 12 02 08 55  23.75 276.96  -1.70 100.89 611.9
2003 12 02 09 00  23.97 270.29  -1.50 100.89 612.1
2003 12 02 09 05  23.97 270.29  -1.50 100.89 612.1
2003 12 02 09 10  23.97 270.29  -1.50 100.89 612.1
2003 12 02 09 15  23.73 265.46  -1.37 100.85 612.3
2003 12 02 09 20  23.73 265.46  -1.37 100.85 612.3
2003 12 02 09 25  23.73 265.46  -1.37 100.85 612.3
2003 12 02 09 30  27.02 266.39  -1.48 100.89 612.3
2003 12 02 09 35  27.02 266.39  -1.48 100.89 612.3
2003 12 02 09 40  27.02 266.39  -1.48 100.89 612.3
2003 12 02 09 45  26.63 265.94  -1.58 101.00 612.4
2003 12 02 09 50  26.63 265.94  -1.58 101.00 612.4
2003 12 02 09 55  26.63 265.94  -1.58 101.00 612.4
2003 12 02 10 00  26.61 266.91  -1.08 100.90 612.5
2003 12 02 10 05  26.61 266.91  -1.08 100.90 612.5
2003 12 02 10 10  26.61 266.91  -1.08 100.90 612.5
2003 12 02 10 15  26.96 258.95  -0.61 101.00 612.3
2003 12 02 10 20  26.96 258.95  -0.61 101.00 612.3
2003 12 02 10 25  26.96 258.95  -0.61 101.00 612.3
2003 12 02 10 30  27.87 259.22  -0.98 101.00 612.4
2003 12 02 10 35  27.87 259.22  -0.98 101.00 612.4
2003 12 02 10 40  27.87 259.22  -0.98 101.00 612.4
2003 12 02 10 45  26.75 259.05  -0.87 101.00 612.3
2003 12 02 10 50  26.75 259.05  -0.87 101.00 612.3
2003 12 02 10 55  26.75 259.05  -0.87 101.00 612.3
2003 12 02 11 00  24.30 256.92  -0.62 101.00 612.4
2003 12 02 11 05  24.30 256.92  -0.62 101.00 612.4
2003 12 02 11 10  24.30 256.92  -0.62 101.00 612.4
2003 12 02 11 15  24.68 247.14  -0.31 100.89 612.4
2003 12 02 11 20  24.68 247.14  -0.31 100.89 612.4
2003 12 02 11 25  24.68 247.14  -0.31 100.89 612.4
2003 12 02 11 30  24.10 245.41  -0.26 101.00 612.4
2003 12 02 11 35  24.10 245.41  -0.26 101.00 612.4
2003 12 02 11 40  24.10 245.41  -0.26 101.00 612.4
2003 12 02 11 45  24.73 253.66  -0.26 101.00 612.4
2003 12 02 11 50  24.73 253.66  -0.26 101.00 612.4
2003 12 02 11 55  24.73 253.66  -0.26 101.00 612.4
2003 12 02 12 00  22.03 251.15  -0.55 101.00 612.3
2003 12 02 12 05  22.03 251.15  -0.55 101.00 612.3
2003 12 02 12 10  22.03 251.15  -0.55 101.00 612.3
2003 12 02 12 15  22.55 254.76  -0.90 101.00 612.3
2003 12 02 12 20  22.55 254.76  -0.90 101.00 612.3
2003 12 02 12 25  22.55 254.76  -0.90 101.00 612.3
2003 12 02 12 30  22.39 253.36  -1.19 100.90 612.2
2003 12 02 12 35  22.39 253.36  -1.19 100.90 612.2
2003 12 02 12 40  22.39 253.36  -1.19 100.90 612.2
2003 12 02 12 45  20.10 250.99  -1.34 101.00 612.0
2003 12 02 12 50  20.10 250.99  -1.34 101.00 612.0
2003 12 02 12 55  20.10 250.99  -1.34 101.00 612.0
2003 12 02 13 00  22.00 248.96  -1.25 101.00 611.9
